,ctdpf_ckl_seawater_temperature,practical_salinity,ctdpf_ckl_seawater_conductivity,density,Label
"(1156138.218, 1156238.221]",3.6930939999999968,34.16435432085285,3.1852081999999995,1029.9699102800257,1
"(1156238.221, 1156338.225]",3.7339830000000003,34.14473044720615,3.1861209999999995,1029.8422879085924,1
"(1156338.225, 1156438.228]",3.777262000000001,34.129211292174425,3.187578300000002,1029.7168306108408,1
"(1156438.228, 1156538.231]",3.8230960000000005,34.11555846900991,3.1894104999999997,1029.5921437446545,1
"(1156538.231, 1156638.235]",3.8237139999999994,34.089006279272525,3.1862132,1029.4641195879099,1
"(1156638.235, 1156738.238]",3.820721999999999,34.06578756887953,3.1829801000000013,1029.3391011100425,1
"(1156738.238, 1156838.241]",3.7987449999999994,34.036882320842984,3.177602399999999,1029.2108431653278,1
"(1156838.241, 1156938.245]",3.8303370000000005,34.010347815053876,3.177100200000001,1029.078164198049,1
"(1156938.245, 1157038.248]",3.908655,33.98389781121699,3.1806740000000007,1028.939451380895,1
"(1157038.248, 1157138.251]",3.9442990000000004,33.96343228903756,3.1810228000000014,1028.8102735976945,1
"(1157138.251, 1157238.255]",3.955754999999997,33.93671817028949,3.178727399999999,1028.6785407378984,1
"(1157238.255, 1157338.258]",3.9285080000000003,33.90558371276678,3.1726901000000005,1028.5484493825888,1
"(1157338.258, 1157438.261]",3.9290349999999994,33.879155117801744,3.169704700000001,1028.4432867064431,1
"(1157438.261, 1157538.264]",3.781257000000001,34.00902273604352,3.173750799999997,1029.1995382865998,1
"(1157538.264, 1157638.268]",3.5311180000000006,34.221452887876936,3.179678600000001,1030.4419894680855,1
"(1157638.268, 1157738.271]",3.504930999999999,34.2298301952592,3.178934700000001,1030.5414109602848,1
"(1157738.271, 1157838.274]",3.450721,34.24345510575728,3.1766378000000004,1030.6971436845013,1
"(1157838.274, 1157938.278]",3.395281000000001,34.25701134906283,3.1742223999999997,1030.8526271395237,1
"(1157938.278, 1158038.281]",3.339943,34.269158527768006,3.171694899999999,1031.0068164731579,1
"(1158038.281, 1158138.284]",3.275654999999998,34.28189555987967,3.168420800000001,1031.1612406224099,1
"(1158138.284, 1158238.288]",3.2205139999999997,34.29324644736556,3.1658213000000006,1031.3126364797954,1
"(1158238.288, 1158338.291]",3.1509630000000017,34.30854068670439,3.162271900000002,1031.466995752525,1
"(1158338.291, 1158438.294]",3.095933,34.319346438713794,3.1596215000000014,1031.6166101239623,1
"(1158438.294, 1158538.298]",3.0464070000000003,34.33097872964388,3.1575289000000013,1031.7673154518855,1
"(1158538.298, 1158638.301]",3.005155999999999,34.33933701912989,3.1558933,1031.9152604917815,1
"(1158638.301, 1158738.304]",2.9431260000000004,34.35075390028112,3.152681900000001,1032.0665545364247,1
"(1158738.304, 1158838.307]",2.898175,34.36065730746693,3.1508248000000014,1032.2136061384701,1
"(1158838.307, 1158938.311]",2.856136000000001,34.37029468385282,3.1491987,1032.360163173236,1
"(1158938.311, 1159038.314]",2.8066890000000013,34.380540739238235,3.1469781999999977,1032.5084007659495,1
"(1159038.314, 1159138.317]",2.7679420000000006,34.388287698192265,3.1454838000000005,1032.653488895671,1
"(1159138.317, 1159238.321]",2.7234770000000004,34.39756291537406,3.1436078000000003,1032.7996629242016,1
"(1159238.321, 1159338.324]",2.6855850000000006,34.405614249036276,3.1421909999999995,1032.9428642490254,1
"(1159338.324, 1159438.327]",2.6479250000000003,34.41372774796588,3.1407987000000004,1033.0861725923344,1
"(1159438.327, 1159538.331]",2.6099770000000024,34.42181003648274,3.1393701999999983,1033.2287545366403,1
"(1159538.331, 1159638.334]",2.5826970000000014,34.427772030269054,3.1386965,1033.3685403415436,1
"(1159638.334, 1159738.337]",2.5518610000000006,34.434601759308656,3.137781500000001,1033.5093045787064,1
"(1159738.337, 1159838.34]",2.5173959999999997,34.442192454206875,3.136609800000001,1033.6509152325589,1
"(1159838.34, 1159938.344]",2.485359,34.449210857077766,3.135601,1033.7917615383753,1
"(1159938.344, 1160038.347]",2.4537679999999993,34.456150003648936,3.134622599999998,1033.9324582105771,1
"(1160038.347, 1160138.35]",2.4245589999999995,34.46255841998949,3.1338071000000003,1034.0725196831295,1
"(1160138.35, 1160238.354]",2.393091,34.46947028584277,3.1328370000000008,1034.213484309259,1
