,ctdpf_ckl_seawater_temperature,practical_salinity,ctdpf_ckl_seawater_conductivity,density,Label
"(739064.825, 739164.833]",5.149014999999999,33.889396719529884,3.2887889,1029.4830850146632,0
"(739164.833, 739264.842]",5.205141,33.89292698352269,3.2929642000000015,1029.3643072384305,0
"(739264.842, 739364.851]",5.26136,33.896573735635904,3.2971659,1029.246225531129,0
"(739364.851, 739464.86]",5.317147,33.901308541704815,3.301429400000001,1029.1293249690045,0
"(739464.86, 739564.868]",5.3702890000000005,33.90612066291095,3.3054607,1029.0120326310675,0
"(739564.868, 739664.877]",5.405780000000001,33.90851197513504,3.3076957000000005,1028.8925404455401,0
"(739664.877, 739764.886]",5.430685999999998,33.902885257990896,3.3083010999999996,1028.769280619471,0
"(739764.886, 739864.895]",5.420022999999998,33.896189096421445,3.3056522000000013,1028.648306668308,0
"(739864.895, 739964.904]",5.415120000000002,33.89531820118506,3.3040179999999997,1028.5306321369005,0
"(739964.904, 740064.912]",5.412766,33.89530870459159,3.3026785000000003,1028.4127929255237,0
"(740064.912, 740164.921]",5.410999000000003,33.89543917635629,3.3014002000000007,1028.2948228757837,0
"(740164.921, 740264.93]",5.408746000000001,33.89512227659268,3.3000342999999983,1028.176142295556,0
"(740264.93, 740364.939]",5.406573,33.895594564019206,3.2987428000000008,1028.05802012749,0
"(740364.939, 740464.947]",5.404719,33.895668404212664,3.2974409000000002,1027.9393058774774,0
"(740464.947, 740564.956]",5.402565999999999,33.89582023810602,3.2961142999999993,1027.8203083055218,0
"(740564.956, 740664.965]",5.400072,33.89577048192787,3.2947413000000005,1027.701484215604,0
"(740664.965, 740764.974]",5.398153999999997,33.8958505761202,3.293643100000003,1027.6048310421368,0
"(740764.974, 740864.982]",5.397786000000001,33.89598636296727,3.2935388000000057,1027.5963192512647,0
"(740864.982, 740964.991]",3.2483579999999987,34.21068209813652,3.1885789999999976,1034.2446327467435,0
"(740964.991, 741065.0]",2.1903376237623773,34.3655271604518,3.1368363366336647,1037.5087271866093,0
"(741065.0, 741165.009]",2.2080299999999995,34.36290898902619,3.1372842000000003,1037.4051762429676,0
