depth,date,temp,oxygen,Salinity,Chl
1.1,5/18/15 9:33,11.1308,NA,9.8,17.1
2.9,6/2/15 8:57,12.4898,NA,10,5.6
1.1,6/2/15 8:58,12.527,NA,10,5.7
0.83,6/15/15 9:31,13.4471,NA,11.8,23.6
0.93,7/6/15 9:58,14.1827,NA,8.9,4.43
0.7,7/20/15 9:26,14.3653,NA,10.4,27
0.69,8/3/15 12:14,14.5897,NA,10.6,26.6
1.1,8/17/15 14:42,14.8117,NA,7.3,1.54
2.3,8/17/15 14:42,14.7375,NA,7.3,1.05
3,9/8/15 9:18,14.0092,NA,6.7,1.78
0.67,9/21/15 9:33,13.9534,NA,7.3,2.37
0.92,10/5/15 9:35,13.3847,NA,6.4,0.822
0.77,10/19/15 9:11,13.3176,NA,6.8,1.65
1,10/19/15 9:11,13.3102,NA,6.8,1.22
1.3,11/2/15 9:09,12.6748,NA,6.6,0.276
0.89,11/19/15 9:18,11.2529,NA,7.6,0.698
0.89,12/14/15 9:15,10.7072,NA,7.5,0.331
1.9,12/14/15 9:15,10.7233,NA,7.5,0.25
1.3,1/19/16 9:40,9.6248,NA,7.5,0.358
1.1,2/16/16 8:58,9.3262,NA,8.3,0.545
2.2,2/16/16 8:58,9.3258,NA,8.3,0.619
1.3,3/9/16 9:14,9.1563,NA,8.7,1.33
1.3,3/21/16 10:48,9.3978,NA,10.3,11.6
1.6,4/6/16 9:03,10.1791,NA,10.7,7.26
1.4,4/18/16 9:32,10.8068,NA,11.2,21.7
1.6,5/16/16 9:55,11.6382,NA,9.4,2.48
1.4,6/6/16 10:02,13.35,NA,12,11.7
1.3,6/20/16 10:39,13.3058,NA,12,11.1
1.5,7/5/16 9:40,13.7022,NA,10.2,8.2
1.1,7/18/16 9:01,15.375,NA,12.2,9.05
0.95,8/1/16 9:59,13.8141,NA,8.4,7.94
1.2,9/6/16 9:25,13.346,NA,6.1,1.06
0.97,9/19/16 9:42,13.3142,NA,6.2,0.638
0.91,10/3/16 9:58,13.0431,NA,5.8,0.928
0.76,10/17/16 9:36,12.4091,NA,6,0.445
1.4,11/7/16 11:04,12.2878,NA,7.2,1.45
1.1,11/21/16 9:29,11.3078,NA,7.4,0.783
1.2,3/20/17 9:22,7.9146,NA,9.7,2.17
1.1,3/29/17 8:21,8.1906,NA,8.7,1.5
1,6/19/17 8:44,12.4562,NA,12.4,19.9
1,5/1/17 8:46,9.5002,NA,11.3,10.5
1.1,3/15/17 8:35,8.0349,NA,8.6,0.522
1,2/21/17 9:49,8.0978,NA,8.6,0.718
1,7/5/17 9:13,13.9899,NA,12.1,18.4
1.1,4/3/17 9:53,8.6535,NA,10.8,26.4
1.1,6/5/17 8:46,12.6622,NA,11.9,13
3,7/5/17 9:12,13.9011,NA,11.8,14.8
2,9/19/17 9:01,12.9807,NA,6.2,1.03
1.1,12/18/17 13:46,9.8812,NA,7.6,0.399
1.1,8/28/17 9:49,13.6432,NA,7.3,1.71
2.5,9/5/17 9:07,13.9626,NA,8.5,14.1
1.1,8/7/17 9:04,14.3001,NA,10.8,23.4
1.3,2/8/17 8:43,7.8915,NA,8.3,0.36
1,4/11/17 8:58,8.4101,NA,10.2,10.6
2.3,2/21/17 9:48,8.1129,NA,8.6,0.771
1.2,1/23/17 9:37,8.5191,NA,8,0.304
1,7/17/17 8:36,14.9514,NA,11.8,13.9
1.3,3/6/17 9:17,7.8528,NA,8.5,0.458
1,4/26/17 8:30,8.981,NA,9.9,11.3
