File Name,Zone,FIL:START TIME YYYY/MM/DD, HH:MM,LOC:EVENT_NUMBER,latitude,longitude,station,INS:LOCATION,sea_water_pressure,sea_water_temperature,Salinity:CTD [PSS-78],Sigma-t:CTD [kg/m^3],Transmissivity:CTD [*/m],Oxygen:Dissolved:CTD:Volume [ml/l],moles_of_oxygen_per_unit_mass_in_sea_water,Fluorescence:CTD:Wetlabs [mg/m^3],PAR:CTD [µE/m^2/sec]
2014-01-0043.ctd,UTC,19-02-14, 19:24,43,50.00033,-144.99899,P26,Mid-ship,3911,1.5069,34.6803,27.7788,68.3,3.1,134.9,0.09,
2014-01-0043.ctd,UTC,19-02-14, 19:24,43,50.00033,-144.99899,P26,Mid-ship,3912,1.5069,34.6803,27.7788,68.3,3.1,134.9,0.077,
2014-01-0043.ctd,UTC,19-02-14, 19:24,43,50.00033,-144.99899,P26,Mid-ship,3913,1.507,34.6803,27.7788,68.4,3.11,134.9,0.09,
2014-01-0043.ctd,UTC,19-02-14, 19:24,43,50.00033,-144.99899,P26,Mid-ship,3914,1.5069,34.6803,27.7788,68.4,3.12,135.3,0.09300000000000001,
2014-01-0043.ctd,UTC,19-02-14, 19:24,43,50.00033,-144.99899,P26,Mid-ship,3915,1.5073,34.6801,27.7786,68.4,3.11,135.0,0.099,
2014-01-0043.ctd,UTC,19-02-14, 19:24,43,50.00033,-144.99899,P26,Mid-ship,3916,1.5072,34.68,27.7786,68.4,3.09,134.3,0.095,
2014-01-0043.ctd,UTC,19-02-14, 19:24,43,50.00033,-144.99899,P26,Mid-ship,3917,1.5072,34.6801,27.7786,68.4,3.11,135.2,0.094,
2014-01-0043.ctd,UTC,19-02-14, 19:24,43,50.00033,-144.99899,P26,Mid-ship,3918,1.5075,34.6802,27.7787,68.4,3.13,135.8,0.10300000000000001,
2014-01-0043.ctd,UTC,19-02-14, 19:24,43,50.00033,-144.99899,P26,Mid-ship,3919,1.5076,34.6803,27.7788,68.4,3.1,134.9,0.084,
2014-01-0043.ctd,UTC,19-02-14, 19:24,43,50.00033,-144.99899,P26,Mid-ship,3920,1.5077,34.6803,27.7788,68.4,3.08,133.7,0.084,
2014-01-0043.ctd,UTC,19-02-14, 19:24,43,50.00033,-144.99899,P26,Mid-ship,3921,1.5076,34.6802,27.7787,68.4,3.14,136.2,0.09300000000000001,
2014-01-0043.ctd,UTC,19-02-14, 19:24,43,50.00033,-144.99899,P26,Mid-ship,3922,1.5074,34.6804,27.7789,68.4,3.11,135.1,0.10300000000000001,
2014-01-0043.ctd,UTC,19-02-14, 19:24,43,50.00033,-144.99899,P26,Mid-ship,3923,1.5071,34.6805,27.779,68.4,3.11,135.1,0.094,
2014-01-0043.ctd,UTC,19-02-14, 19:24,43,50.00033,-144.99899,P26,Mid-ship,3924,1.5069,34.6806,27.7791,68.4,3.11,135.2,0.099,
2014-01-0043.ctd,UTC,19-02-14, 19:24,43,50.00033,-144.99899,P26,Mid-ship,3925,1.5068,34.6805,27.779,68.4,3.11,135.1,0.086,
2014-01-0043.ctd,UTC,19-02-14, 19:24,43,50.00033,-144.99899,P26,Mid-ship,3926,1.5074,34.6804,27.7789,68.4,3.11,135.2,0.09300000000000001,
2014-01-0043.ctd,UTC,19-02-14, 19:24,43,50.00033,-144.99899,P26,Mid-ship,3927,1.5075,34.6803,27.7788,68.3,3.11,135.2,0.09300000000000001,
2014-01-0043.ctd,UTC,19-02-14, 19:24,43,50.00033,-144.99899,P26,Mid-ship,3928,1.5073,34.6804,27.7789,68.4,3.11,135.2,0.09300000000000001,
2014-01-0043.ctd,UTC,19-02-14, 19:24,43,50.00033,-144.99899,P26,Mid-ship,3929,1.5073,34.6803,27.7788,68.4,3.13,136.0,0.094,
2014-01-0043.ctd,UTC,19-02-14, 19:24,43,50.00033,-144.99899,P26,Mid-ship,3930,1.5072,34.6805,27.779,68.4,3.1,134.5,0.109,
2014-01-0043.ctd,UTC,19-02-14, 19:24,43,50.00033,-144.99899,P26,Mid-ship,3931,1.5073,34.6805,27.779,68.4,3.11,135.3,0.099,
2014-01-0043.ctd,UTC,19-02-14, 19:24,43,50.00033,-144.99899,P26,Mid-ship,3932,1.5074,34.6806,27.779,68.4,3.09,134.3,0.09300000000000001,
2014-01-0043.ctd,UTC,19-02-14, 19:24,43,50.00033,-144.99899,P26,Mid-ship,3933,1.5074,34.6805,27.779,68.4,3.14,136.3,0.1,
2014-01-0043.ctd,UTC,19-02-14, 19:24,43,50.00033,-144.99899,P26,Mid-ship,3934,1.5074,34.6806,27.779,68.4,3.09,134.3,0.109,
2014-01-0043.ctd,UTC,19-02-14, 19:24,43,50.00033,-144.99899,P26,Mid-ship,3935,1.5074,34.6807,27.7791,68.3,3.15,136.7,0.098,
2014-01-0043.ctd,UTC,19-02-14, 19:24,43,50.00033,-144.99899,P26,Mid-ship,3936,1.5073,34.6806,27.779,68.3,3.11,135.1,0.10300000000000001,
2014-01-0043.ctd,UTC,19-02-14, 19:24,43,50.00033,-144.99899,P26,Mid-ship,3937,1.507,34.6807,27.7791,68.3,3.1,134.8,0.076,
2014-01-0043.ctd,UTC,19-02-14, 19:24,43,50.00033,-144.99899,P26,Mid-ship,3938,1.5078,34.6805,27.7789,68.4,3.12,135.3,0.086,
2014-01-0043.ctd,UTC,19-02-14, 19:24,43,50.00033,-144.99899,P26,Mid-ship,3939,1.5081,34.6804,27.7788,68.3,3.13,136.1,0.086,
2014-01-0043.ctd,UTC,19-02-14, 19:24,43,50.00033,-144.99899,P26,Mid-ship,3940,1.5076,34.6804,27.7789,68.4,3.12,135.4,0.09300000000000001,
2014-01-0043.ctd,UTC,19-02-14, 19:24,43,50.00033,-144.99899,P26,Mid-ship,3941,1.5075,34.6806,27.779,68.4,3.12,135.5,0.09300000000000001,
2014-01-0043.ctd,UTC,19-02-14, 19:24,43,50.00033,-144.99899,P26,Mid-ship,3942,1.5076,34.6804,27.7789,68.4,3.09,134.4,0.084,
2014-01-0043.ctd,UTC,19-02-14, 19:24,43,50.00033,-144.99899,P26,Mid-ship,3943,1.5075,34.6806,27.779,68.4,3.12,135.5,0.086,
