File Name,Zone,FIL:START TIME YYYY/MM/DD, HH:MM,LOC:EVENT_NUMBER,latitude,longitude,station,INS:LOCATION,sea_water_pressure,sea_water_temperature,Salinity:Practical:CTD [PSS-78],Sigma-t:CTD [kg/m^3],Transmissivity:CTD [*/m],Oxygen:Dissolved:CTD:Volume [ml/l],moles_of_oxygen_per_unit_mass_in_sea_water,mass_concentration_of_chlorophyll,Fluorescence:CTD:Wetlabs [mg/m^3],PAR:CTD [µE/m^2/sec]
2012-12-0098.ctd,UTC,04/06/2012, 03:33,98,49.99967,-144.99933000000001,P26,Mid-ship,2583.9,1.6899,34.6348,27.7288,67.9,2.04,88.7,0.024,0.124,
2012-12-0078.ctd,UTC,02/06/2012, 00:17,78,50.0005,-144.99833999999998,P26,Mid-ship,2584.0,1.6815,34.6363,27.7306,67.9,2.07,89.8,0.024,0.13,
2012-12-0089.ctd,UTC,03/06/2012, 04:13,89,50.00033,-144.9985,P26,Mid-ship,2584.0,1.6859,34.6357,27.7298,67.9,2.06,89.3,0.024,0.128,
2012-12-0098.ctd,UTC,04/06/2012, 03:33,98,49.99967,-144.99933000000001,P26,Mid-ship,2584.9,1.6885,34.6352,27.7292,67.9,2.05,89.1,0.024,0.113,
2012-12-0078.ctd,UTC,02/06/2012, 00:17,78,50.0005,-144.99833999999998,P26,Mid-ship,2585.0,1.6815,34.6364,27.7307,67.9,2.07,89.9,0.024,0.11900000000000001,
2012-12-0089.ctd,UTC,03/06/2012, 04:13,89,50.00033,-144.9985,P26,Mid-ship,2585.0,1.6856,34.6357,27.7298,67.8,2.06,89.4,0.024,0.11599999999999999,
2012-12-0089.ctd,UTC,03/06/2012, 04:13,89,50.00033,-144.9985,P26,Mid-ship,2585.7,1.6854,34.6357,27.7298,67.8,2.06,89.4,0.024,0.11900000000000001,
2012-12-0078.ctd,UTC,02/06/2012, 00:17,78,50.0005,-144.99833999999998,P26,Mid-ship,2586.0,1.681,34.6364,27.7307,67.9,2.07,89.9,0.024,0.111,
2012-12-0098.ctd,UTC,04/06/2012, 03:33,98,49.99967,-144.99933000000001,P26,Mid-ship,2586.0,1.6883,34.6353,27.7293,67.9,2.05,89.1,0.024,0.11699999999999999,
2012-12-0078.ctd,UTC,02/06/2012, 00:17,78,50.0005,-144.99833999999998,P26,Mid-ship,2587.0,1.6802,34.6365,27.7309,67.9,2.07,90.0,0.024,0.12300000000000001,
2012-12-0098.ctd,UTC,04/06/2012, 03:33,98,49.99967,-144.99933000000001,P26,Mid-ship,2587.0,1.6882,34.6354,27.7294,67.9,2.06,89.3,0.024,0.11699999999999999,
2012-12-0089.ctd,UTC,03/06/2012, 04:13,89,50.00033,-144.9985,P26,Mid-ship,2587.4,1.6858,34.6361,27.7301,67.8,2.06,89.4,0.024,0.142,
2012-12-0078.ctd,UTC,02/06/2012, 00:17,78,50.0005,-144.99833999999998,P26,Mid-ship,2588.0,1.6797,34.6366,27.730999999999998,67.9,2.08,90.2,0.024,0.124,
2012-12-0089.ctd,UTC,03/06/2012, 04:13,89,50.00033,-144.9985,P26,Mid-ship,2588.0,1.6851,34.6359,27.73,67.8,2.06,89.3,0.024,0.13,
2012-12-0098.ctd,UTC,04/06/2012, 03:33,98,49.99967,-144.99933000000001,P26,Mid-ship,2588.0,1.6880000000000002,34.6353,27.7293,67.9,2.06,89.3,0.024,0.124,
2012-12-0078.ctd,UTC,02/06/2012, 00:17,78,50.0005,-144.99833999999998,P26,Mid-ship,2589.0,1.6797,34.6366,27.730999999999998,67.9,2.08,90.2,0.024,0.134,
2012-12-0089.ctd,UTC,03/06/2012, 04:13,89,50.00033,-144.9985,P26,Mid-ship,2589.0,1.6847,34.6361,27.7302,67.8,2.06,89.3,0.024,0.131,
2012-12-0098.ctd,UTC,04/06/2012, 03:33,98,49.99967,-144.99933000000001,P26,Mid-ship,2589.0,1.6873,34.6353,27.7294,67.9,2.05,89.2,0.03,0.126,
2012-12-0078.ctd,UTC,02/06/2012, 00:17,78,50.0005,-144.99833999999998,P26,Mid-ship,2590.0,1.6796,34.6366,27.730999999999998,67.9,2.08,90.3,0.024,0.136,
2012-12-0089.ctd,UTC,03/06/2012, 04:13,89,50.00033,-144.9985,P26,Mid-ship,2590.0,1.6845,34.6359,27.73,67.8,2.06,89.4,0.024,0.138,
2012-12-0098.ctd,UTC,04/06/2012, 03:33,98,49.99967,-144.99933000000001,P26,Mid-ship,2590.0,1.6869,34.6354,27.7295,67.9,2.06,89.3,0.024,0.128,
2012-12-0078.ctd,UTC,02/06/2012, 00:17,78,50.0005,-144.99833999999998,P26,Mid-ship,2591.0,1.679,34.6368,27.7312,67.9,2.08,90.1,0.024,0.114,
2012-12-0089.ctd,UTC,03/06/2012, 04:13,89,50.00033,-144.9985,P26,Mid-ship,2591.0,1.6842,34.6359,27.7301,67.9,2.06,89.7,0.024,0.126,
2012-12-0098.ctd,UTC,04/06/2012, 03:33,98,49.99967,-144.99933000000001,P26,Mid-ship,2591.0,1.6865,34.6355,27.7296,67.9,2.06,89.4,0.024,0.11900000000000001,
2012-12-0078.ctd,UTC,02/06/2012, 00:17,78,50.0005,-144.99833999999998,P26,Mid-ship,2592.0,1.6789,34.6369,27.7313,67.9,2.08,90.4,0.024,0.126,
2012-12-0089.ctd,UTC,03/06/2012, 04:13,89,50.00033,-144.9985,P26,Mid-ship,2592.0,1.6839,34.6361,27.7303,67.8,2.07,89.9,0.024,0.135,
2012-12-0098.ctd,UTC,04/06/2012, 03:33,98,49.99967,-144.99933000000001,P26,Mid-ship,2592.0,1.686,34.6357,27.7298,67.9,2.06,89.4,0.027999999999999997,0.127,
2012-12-0078.ctd,UTC,02/06/2012, 00:17,78,50.0005,-144.99833999999998,P26,Mid-ship,2593.0,1.6788,34.6369,27.7313,67.9,2.08,90.4,0.024,0.11,
2012-12-0089.ctd,UTC,03/06/2012, 04:13,89,50.00033,-144.9985,P26,Mid-ship,2593.0,1.6840000000000002,34.6359,27.7301,67.8,2.06,89.4,0.024,0.133,
2012-12-0098.ctd,UTC,04/06/2012, 03:33,98,49.99967,-144.99933000000001,P26,Mid-ship,2593.0,1.6858,34.6358,27.7299,67.9,2.06,89.6,0.024,0.12300000000000001,
2012-12-0078.ctd,UTC,02/06/2012, 00:17,78,50.0005,-144.99833999999998,P26,Mid-ship,2594.0,1.6786,34.6369,27.7313,67.9,2.08,90.5,0.024,0.115,
2012-12-0098.ctd,UTC,04/06/2012, 03:33,98,49.99967,-144.99933000000001,P26,Mid-ship,2594.0,1.6855,34.6358,27.7299,67.9,2.06,89.5,0.024,0.11199999999999999,
2012-12-0089.ctd,UTC,03/06/2012, 04:13,89,50.00033,-144.9985,P26,Mid-ship,2594.3,1.6840000000000002,34.6361,27.7302,67.8,2.07,89.8,0.024,0.131,
2012-12-0078.ctd,UTC,02/06/2012, 00:17,78,50.0005,-144.99833999999998,P26,Mid-ship,2595.0,1.6779,34.6369,27.7313,67.9,2.08,90.5,0.024,0.124,
2012-12-0089.ctd,UTC,03/06/2012, 04:13,89,50.00033,-144.9985,P26,Mid-ship,2595.0,1.6840000000000002,34.6362,27.7303,67.8,2.06,89.7,0.024,0.127,
2012-12-0098.ctd,UTC,04/06/2012, 03:33,98,49.99967,-144.99933000000001,P26,Mid-ship,2595.1,1.685,34.6359,27.73,67.9,2.06,89.6,0.024,0.126,
2012-12-0098.ctd,UTC,04/06/2012, 03:33,98,49.99967,-144.99933000000001,P26,Mid-ship,2595.9,1.6845,34.6358,27.73,67.9,2.06,89.6,0.024,0.11,
2012-12-0078.ctd,UTC,02/06/2012, 00:17,78,50.0005,-144.99833999999998,P26,Mid-ship,2596.0,1.6769999999999998,34.6371,27.7316,67.9,2.08,90.5,0.024,0.138,
2012-12-0089.ctd,UTC,03/06/2012, 04:13,89,50.00033,-144.9985,P26,Mid-ship,2596.0,1.6840000000000002,34.6363,27.7304,67.9,2.06,89.6,0.024,0.12300000000000001,
2012-12-0078.ctd,UTC,02/06/2012, 00:17,78,50.0005,-144.99833999999998,P26,Mid-ship,2597.0,1.6769,34.6372,27.7317,67.9,2.09,90.6,0.024,0.11900000000000001,
2012-12-0089.ctd,UTC,03/06/2012, 04:13,89,50.00033,-144.9985,P26,Mid-ship,2597.0,1.6838,34.6362,27.7303,67.8,2.07,89.7,0.024,0.107,
2012-12-0098.ctd,UTC,04/06/2012, 03:33,98,49.99967,-144.99933000000001,P26,Mid-ship,2597.0,1.6840000000000002,34.6361,27.7302,67.9,2.07,89.7,0.024,0.132,
2012-12-0078.ctd,UTC,02/06/2012, 00:17,78,50.0005,-144.99833999999998,P26,Mid-ship,2598.0,1.6769,34.6374,27.7318,67.9,2.09,90.7,0.024,0.134,
2012-12-0098.ctd,UTC,04/06/2012, 03:33,98,49.99967,-144.99933000000001,P26,Mid-ship,2598.0,1.6839,34.6362,27.7303,67.9,2.06,89.7,0.024,0.111,
2012-12-0089.ctd,UTC,03/06/2012, 04:13,89,50.00033,-144.9985,P26,Mid-ship,2598.1,1.6836,34.6362,27.7304,67.8,2.06,89.7,0.024,0.114,
2012-12-0078.ctd,UTC,02/06/2012, 00:17,78,50.0005,-144.99833999999998,P26,Mid-ship,2599.0,1.6768,34.6374,27.7318,67.9,2.09,90.7,0.024,0.124,
2012-12-0089.ctd,UTC,03/06/2012, 04:13,89,50.00033,-144.9985,P26,Mid-ship,2599.0,1.6838,34.635999999999996,27.7302,67.8,2.07,89.7,0.024,0.138,
2012-12-0098.ctd,UTC,04/06/2012, 03:33,98,49.99967,-144.99933000000001,P26,Mid-ship,2599.0,1.6841,34.635999999999996,27.7302,67.9,2.07,89.7,0.024,0.131,
2012-12-0078.ctd,UTC,02/06/2012, 00:17,78,50.0005,-144.99833999999998,P26,Mid-ship,2600.0,1.6765,34.6373,27.7318,67.9,2.09,90.8,0.024,0.132,
2012-12-0089.ctd,UTC,03/06/2012, 04:13,89,50.00033,-144.9985,P26,Mid-ship,2600.0,1.6840000000000002,34.635999999999996,27.7302,67.8,2.07,89.7,0.024,0.125,
2012-12-0098.ctd,UTC,04/06/2012, 03:33,98,49.99967,-144.99933000000001,P26,Mid-ship,2600.0,1.6836,34.6362,27.7304,67.9,2.07,89.7,0.028999999999999998,0.133,
2012-12-0078.ctd,UTC,02/06/2012, 00:17,78,50.0005,-144.99833999999998,P26,Mid-ship,2600.9,1.6758,34.6374,27.7319,67.8,2.09,90.8,0.024,0.138,
2012-12-0098.ctd,UTC,04/06/2012, 03:33,98,49.99967,-144.99933000000001,P26,Mid-ship,2600.9,1.6834,34.6363,27.7304,67.9,2.07,89.7,0.024,0.124,
2012-12-0089.ctd,UTC,03/06/2012, 04:13,89,50.00033,-144.9985,P26,Mid-ship,2601.0,1.6833,34.6364,27.7305,67.8,2.08,90.3,0.024,0.124,
2012-12-0089.ctd,UTC,03/06/2012, 04:13,89,50.00033,-144.9985,P26,Mid-ship,2602.0,1.6822,34.6364,27.7306,67.8,2.07,90.0,0.024,0.128,
2012-12-0078.ctd,UTC,02/06/2012, 00:17,78,50.0005,-144.99833999999998,P26,Mid-ship,2602.2,1.6749,34.6376,27.7321,67.9,2.1,91.0,0.024,0.124,
2012-12-0098.ctd,UTC,04/06/2012, 03:33,98,49.99967,-144.99933000000001,P26,Mid-ship,2602.3,1.6833,34.6363,27.7305,67.9,2.07,89.9,0.024,0.11699999999999999,
2012-12-0078.ctd,UTC,02/06/2012, 00:17,78,50.0005,-144.99833999999998,P26,Mid-ship,2603.0,1.6746,34.6377,27.7322,67.9,2.09,90.8,0.024,0.125,
2012-12-0089.ctd,UTC,03/06/2012, 04:13,89,50.00033,-144.9985,P26,Mid-ship,2603.0,1.6809,34.6367,27.730999999999998,67.9,2.08,90.4,0.024,0.14,
2012-12-0098.ctd,UTC,04/06/2012, 03:33,98,49.99967,-144.99933000000001,P26,Mid-ship,2603.0,1.6831,34.6363,27.7305,67.9,2.07,89.9,0.024,0.125,
2012-12-0078.ctd,UTC,02/06/2012, 00:17,78,50.0005,-144.99833999999998,P26,Mid-ship,2604.0,1.6744,34.6377,27.7322,67.9,2.1,91.1,0.024,0.102,
2012-12-0089.ctd,UTC,03/06/2012, 04:13,89,50.00033,-144.9985,P26,Mid-ship,2604.0,1.6799,34.6369,27.7312,67.8,2.08,90.3,0.024,0.125,
2012-12-0098.ctd,UTC,04/06/2012, 03:33,98,49.99967,-144.99933000000001,P26,Mid-ship,2604.0,1.6828,34.6363,27.7305,67.9,2.08,90.2,0.024,0.12300000000000001,
2012-12-0078.ctd,UTC,02/06/2012, 00:17,78,50.0005,-144.99833999999998,P26,Mid-ship,2605.0,1.6740000000000002,34.6377,27.7323,67.9,2.1,91.2,0.024,0.121,
2012-12-0098.ctd,UTC,04/06/2012, 03:33,98,49.99967,-144.99933000000001,P26,Mid-ship,2605.0,1.6826,34.6364,27.7306,67.9,2.07,89.8,0.024,0.122,
2012-12-0089.ctd,UTC,03/06/2012, 04:13,89,50.00033,-144.9985,P26,Mid-ship,2605.1,1.6789,34.6369,27.7313,67.9,2.08,90.4,0.024,0.11,
