File Name,Zone,FIL:START TIME YYYY/MM/DD, HH:MM,LOC:EVENT_NUMBER,latitude,longitude,station,INS:LOCATION,sea_water_pressure,sea_water_temperature,Salinity:CTD [PSS-78],Sigma-t:CTD [kg/m^3],Transmissivity:CTD [*/m],Oxygen:Dissolved:CTD:Volume [ml/l],moles_of_oxygen_per_unit_mass_in_sea_water,mass_concentration_of_chlorophyll,Fluorescence:CTD:Wetlabs [mg/m^3],PAR:CTD [µE/m^2/sec]
2017-01-0051.ctd,UTC,12-02-17, 16:33,51,50.000170000000004,-145.00017,P26,Mid-ship,15.6,5.9048,32.7214,25.7898,,6.96,302.9,0.56,,0.0
2017-01-0047.ctd,UTC,12-02-17, 09:32,47,50.00183,-144.9985,P26,Mid-ship,15.9,6.0408,32.7224,25.774,,6.96,302.8,0.627,,
2017-01-0050.ctd,UTC,12-02-17, 12:05,50,50.000170000000004,-144.99983,P26,Mid-ship,16.0,5.9089,32.7214,25.7893,,7.0,304.6,0.562,,
2017-01-0044.ctd,UTC,12-02-17, 06:13,44,50.00183,-144.9985,P26,Mid-ship,16.1,6.086,32.7228,25.7687,,6.96,303.1,0.635,,
2017-01-0044.ctd,UTC,12-02-17, 06:13,44,50.00183,-144.9985,P26,Mid-ship,17.0,6.087000000000001,32.7229,25.7687,,6.96,302.9,0.637,,
2017-01-0047.ctd,UTC,12-02-17, 09:32,47,50.00183,-144.9985,P26,Mid-ship,17.0,6.0404,32.7223,25.774,,6.96,302.7,0.639,,
2017-01-0050.ctd,UTC,12-02-17, 12:05,50,50.000170000000004,-144.99983,P26,Mid-ship,17.0,5.9079999999999995,32.7215,25.7895,,6.99,304.3,0.561,,
2017-01-0048.ctd,UTC,12-02-17, 10:05,48,50.00134,-144.99899,P26,Mid-ship,17.4,6.013999999999999,32.7223,25.7772,,6.96,302.9,0.63,,
2017-01-0051.ctd,UTC,12-02-17, 16:33,51,50.000170000000004,-145.00017,P26,Mid-ship,17.4,5.9053,32.721,25.7894,,6.96,303.0,0.565,,0.0
2017-01-0044.ctd,UTC,12-02-17, 06:13,44,50.00183,-144.9985,P26,Mid-ship,18.0,6.0868,32.723,25.7688,,6.96,302.7,0.624,,
2017-01-0047.ctd,UTC,12-02-17, 09:32,47,50.00183,-144.9985,P26,Mid-ship,18.0,6.0409,32.7227,25.7742,,6.98,303.6,0.638,,
2017-01-0048.ctd,UTC,12-02-17, 10:05,48,50.00134,-144.99899,P26,Mid-ship,18.0,6.0138,32.7222,25.7771,,6.96,302.8,0.625,,
2017-01-0050.ctd,UTC,12-02-17, 12:05,50,50.000170000000004,-144.99983,P26,Mid-ship,18.0,5.9075,32.7215,25.7896,,6.99,304.3,0.569,,
2017-01-0051.ctd,UTC,12-02-17, 16:33,51,50.000170000000004,-145.00017,P26,Mid-ship,18.0,5.9058,32.7211,25.7895,,6.96,303.0,0.575,,0.0
2017-01-0044.ctd,UTC,12-02-17, 06:13,44,50.00183,-144.9985,P26,Mid-ship,19.0,6.087000000000001,32.7229,25.7687,,6.96,303.0,0.63,,
2017-01-0048.ctd,UTC,12-02-17, 10:05,48,50.00134,-144.99899,P26,Mid-ship,19.0,6.0125,32.7221,25.7772,,6.96,302.9,0.629,,
2017-01-0051.ctd,UTC,12-02-17, 16:33,51,50.000170000000004,-145.00017,P26,Mid-ship,19.0,5.9061,32.7211,25.7894,,6.95,302.5,0.5660000000000001,,0.0
2017-01-0047.ctd,UTC,12-02-17, 09:32,47,50.00183,-144.9985,P26,Mid-ship,19.1,6.0412,32.7226,25.7741,,6.97,303.3,0.629,,
2017-01-0050.ctd,UTC,12-02-17, 12:05,50,50.000170000000004,-144.99983,P26,Mid-ship,19.1,5.9065,32.7215,25.7897,,7.0,304.5,0.5660000000000001,,
2017-01-0050.ctd,UTC,12-02-17, 12:05,50,50.000170000000004,-144.99983,P26,Mid-ship,19.9,5.9057,32.7214,25.7897,,6.99,304.2,0.569,,
2017-01-0044.ctd,UTC,12-02-17, 06:13,44,50.00183,-144.9985,P26,Mid-ship,20.0,6.087000000000001,32.723,25.7688,,6.97,303.3,0.62,,
2017-01-0047.ctd,UTC,12-02-17, 09:32,47,50.00183,-144.9985,P26,Mid-ship,20.0,6.0416,32.7226,25.774,,6.96,302.7,0.622,,
2017-01-0048.ctd,UTC,12-02-17, 10:05,48,50.00134,-144.99899,P26,Mid-ship,20.0,6.0105,32.7221,25.7775,,6.97,303.3,0.631,,
2017-01-0051.ctd,UTC,12-02-17, 16:33,51,50.000170000000004,-145.00017,P26,Mid-ship,20.0,5.9042,32.7213,25.7898,,6.95,302.3,0.563,,0.0
2017-01-0050.ctd,UTC,12-02-17, 12:05,50,50.000170000000004,-144.99983,P26,Mid-ship,20.9,5.9025,32.7215,25.7902,,6.99,304.2,0.569,,
2017-01-0044.ctd,UTC,12-02-17, 06:13,44,50.00183,-144.9985,P26,Mid-ship,21.0,6.0872,32.7231,25.7688,,6.97,303.2,0.626,,
2017-01-0047.ctd,UTC,12-02-17, 09:32,47,50.00183,-144.9985,P26,Mid-ship,21.0,6.0417,32.7226,25.774,,6.95,302.4,0.627,,
2017-01-0051.ctd,UTC,12-02-17, 16:33,51,50.000170000000004,-145.00017,P26,Mid-ship,21.0,5.9056,32.7214,25.7897,,6.95,302.5,0.561,,0.0
2017-01-0048.ctd,UTC,12-02-17, 10:05,48,50.00134,-144.99899,P26,Mid-ship,21.1,6.0099,32.7222,25.7776,,6.97,303.5,0.6509999999999999,,
2017-01-0048.ctd,UTC,12-02-17, 10:05,48,50.00134,-144.99899,P26,Mid-ship,21.9,6.0111,32.7222,25.7775,,6.96,302.7,0.626,,
2017-01-0047.ctd,UTC,12-02-17, 09:32,47,50.00183,-144.9985,P26,Mid-ship,22.0,6.0417,32.7224,25.7739,,6.94,302.1,0.633,,
2017-01-0050.ctd,UTC,12-02-17, 12:05,50,50.000170000000004,-144.99983,P26,Mid-ship,22.0,5.902,32.7215,25.7902,,6.98,304.0,0.557,,
2017-01-0051.ctd,UTC,12-02-17, 16:33,51,50.000170000000004,-145.00017,P26,Mid-ship,22.0,5.9044,32.7212,25.7897,,6.97,303.3,0.561,,0.0
2017-01-0044.ctd,UTC,12-02-17, 06:13,44,50.00183,-144.9985,P26,Mid-ship,22.1,6.0874,32.723,25.7687,,6.97,303.3,0.609,,
2017-01-0044.ctd,UTC,12-02-17, 06:13,44,50.00183,-144.9985,P26,Mid-ship,23.0,6.0874,32.7229,25.7686,,6.96,303.0,0.618,,
2017-01-0047.ctd,UTC,12-02-17, 09:32,47,50.00183,-144.9985,P26,Mid-ship,23.0,6.0413,32.7226,25.7741,,6.95,302.5,0.628,,
2017-01-0048.ctd,UTC,12-02-17, 10:05,48,50.00134,-144.99899,P26,Mid-ship,23.0,6.0077,32.7221,25.7778,,6.95,302.5,0.627,,
2017-01-0050.ctd,UTC,12-02-17, 12:05,50,50.000170000000004,-144.99983,P26,Mid-ship,23.0,5.9023,32.7213,25.79,,6.98,303.7,0.5820000000000001,,
2017-01-0051.ctd,UTC,12-02-17, 16:33,51,50.000170000000004,-145.00017,P26,Mid-ship,23.0,5.9037,32.7213,25.7899,,6.98,303.7,0.5539999999999999,,0.0
2017-01-0044.ctd,UTC,12-02-17, 06:13,44,50.00183,-144.9985,P26,Mid-ship,24.0,6.0874,32.723,25.7687,,6.96,303.0,0.62,,
2017-01-0047.ctd,UTC,12-02-17, 09:32,47,50.00183,-144.9985,P26,Mid-ship,24.0,6.0414,32.7226,25.7741,,6.96,302.8,0.653,,
2017-01-0048.ctd,UTC,12-02-17, 10:05,48,50.00134,-144.99899,P26,Mid-ship,24.0,6.0101,32.722,25.7774,,6.95,302.6,0.643,,
2017-01-0050.ctd,UTC,12-02-17, 12:05,50,50.000170000000004,-144.99983,P26,Mid-ship,24.0,5.9024,32.7214,25.7901,,6.98,304.0,0.578,,
2017-01-0051.ctd,UTC,12-02-17, 16:33,51,50.000170000000004,-145.00017,P26,Mid-ship,24.0,5.903,32.7213,25.79,,6.98,303.7,0.57,,0.0
2017-01-0044.ctd,UTC,12-02-17, 06:13,44,50.00183,-144.9985,P26,Mid-ship,25.0,6.0873,32.723,25.7687,,6.96,302.7,0.625,,
2017-01-0048.ctd,UTC,12-02-17, 10:05,48,50.00134,-144.99899,P26,Mid-ship,25.0,6.0111,32.7221,25.7774,,6.95,302.7,0.634,,
2017-01-0051.ctd,UTC,12-02-17, 16:33,51,50.000170000000004,-145.00017,P26,Mid-ship,25.0,5.9028,32.7213,25.79,,6.97,303.5,0.574,,0.0
2017-01-0047.ctd,UTC,12-02-17, 09:32,47,50.00183,-144.9985,P26,Mid-ship,25.1,6.0412,32.7227,25.7742,,6.95,302.5,0.624,,
2017-01-0050.ctd,UTC,12-02-17, 12:05,50,50.000170000000004,-144.99983,P26,Mid-ship,25.1,5.9016,32.7215,25.7903,,6.99,304.3,0.557,,
2017-01-0044.ctd,UTC,12-02-17, 06:13,44,50.00183,-144.9985,P26,Mid-ship,26.0,6.0878,32.7229,25.7686,,6.96,302.9,0.627,,
2017-01-0048.ctd,UTC,12-02-17, 10:05,48,50.00134,-144.99899,P26,Mid-ship,26.0,6.013999999999999,32.7221,25.776999999999997,,6.96,303.0,0.629,,
2017-01-0050.ctd,UTC,12-02-17, 12:05,50,50.000170000000004,-144.99983,P26,Mid-ship,26.0,5.9027,32.7214,25.7901,,7.01,305.0,0.56,,
2017-01-0051.ctd,UTC,12-02-17, 16:33,51,50.000170000000004,-145.00017,P26,Mid-ship,26.0,5.9034,32.7213,25.7899,,6.97,303.5,0.556,,0.0
2017-01-0047.ctd,UTC,12-02-17, 09:32,47,50.00183,-144.9985,P26,Mid-ship,26.1,6.0415,32.7225,25.774,,6.97,303.3,0.629,,
2017-01-0050.ctd,UTC,12-02-17, 12:05,50,50.000170000000004,-144.99983,P26,Mid-ship,26.6,5.9038,32.7212,25.7898,,7.01,305.0,0.563,,
2017-01-0051.ctd,UTC,12-02-17, 16:33,51,50.000170000000004,-145.00017,P26,Mid-ship,26.9,5.9032,32.7214,25.79,,6.97,303.6,0.5539999999999999,,0.0
2017-01-0044.ctd,UTC,12-02-17, 06:13,44,50.00183,-144.9985,P26,Mid-ship,27.0,6.0877,32.7229,25.7686,,6.96,303.0,0.631,,
2017-01-0047.ctd,UTC,12-02-17, 09:32,47,50.00183,-144.9985,P26,Mid-ship,27.0,6.0418,32.7226,25.774,,6.97,303.4,0.635,,
2017-01-0048.ctd,UTC,12-02-17, 10:05,48,50.00134,-144.99899,P26,Mid-ship,27.0,6.0149,32.7224,25.7772,,6.97,303.4,0.644,,
2017-01-0044.ctd,UTC,12-02-17, 06:13,44,50.00183,-144.9985,P26,Mid-ship,28.0,6.0881,32.7231,25.7687,,6.96,302.8,0.623,,
2017-01-0047.ctd,UTC,12-02-17, 09:32,47,50.00183,-144.9985,P26,Mid-ship,28.0,6.0401,32.7226,25.7742,,6.97,303.5,0.635,,
2017-01-0048.ctd,UTC,12-02-17, 10:05,48,50.00134,-144.99899,P26,Mid-ship,28.1,6.0075,32.7222,25.7779,,6.97,303.3,0.611,,
2017-01-0050.ctd,UTC,12-02-17, 12:05,50,50.000170000000004,-144.99983,P26,Mid-ship,28.2,5.9031,32.7215,25.7901,,7.01,305.0,0.56,,
2017-01-0051.ctd,UTC,12-02-17, 16:33,51,50.000170000000004,-145.00017,P26,Mid-ship,28.2,5.9029,32.7212,25.7899,,6.96,303.0,0.574,,0.0
2017-01-0044.ctd,UTC,12-02-17, 06:13,44,50.00183,-144.9985,P26,Mid-ship,29.0,6.0879,32.723,25.7687,,6.96,302.7,0.623,,
2017-01-0048.ctd,UTC,12-02-17, 10:05,48,50.00134,-144.99899,P26,Mid-ship,29.0,6.0033,32.7222,25.7784,,6.96,303.0,0.633,,
2017-01-0050.ctd,UTC,12-02-17, 12:05,50,50.000170000000004,-144.99983,P26,Mid-ship,29.0,5.9033,32.7214,25.79,,7.01,305.1,0.564,,
2017-01-0051.ctd,UTC,12-02-17, 16:33,51,50.000170000000004,-145.00017,P26,Mid-ship,29.0,5.9025,32.7211,25.7899,,6.97,303.2,0.5720000000000001,,0.0
2017-01-0047.ctd,UTC,12-02-17, 09:32,47,50.00183,-144.9985,P26,Mid-ship,29.1,6.0388,32.7226,25.7744,,6.97,303.5,0.616,,
2017-01-0048.ctd,UTC,12-02-17, 10:05,48,50.00134,-144.99899,P26,Mid-ship,29.9,5.9945,32.7215,25.779,,6.97,303.3,0.609,,
2017-01-0044.ctd,UTC,12-02-17, 06:13,44,50.00183,-144.9985,P26,Mid-ship,30.0,6.0879,32.723,25.7687,,6.96,302.8,0.63,,
2017-01-0050.ctd,UTC,12-02-17, 12:05,50,50.000170000000004,-144.99983,P26,Mid-ship,30.0,5.9045,32.7213,25.7898,,7.0,304.7,0.5539999999999999,,
2017-01-0051.ctd,UTC,12-02-17, 16:33,51,50.000170000000004,-145.00017,P26,Mid-ship,30.0,5.9016,32.7213,25.7901,,6.97,303.3,0.564,,0.0
2017-01-0047.ctd,UTC,12-02-17, 09:32,47,50.00183,-144.9985,P26,Mid-ship,30.1,6.039,32.7223,25.7741,,6.95,302.6,0.632,,
2017-01-0047.ctd,UTC,12-02-17, 09:32,47,50.00183,-144.9985,P26,Mid-ship,30.9,6.0360000000000005,32.7223,25.7745,,6.94,302.1,0.625,,
2017-01-0050.ctd,UTC,12-02-17, 12:05,50,50.000170000000004,-144.99983,P26,Mid-ship,30.9,5.9048,32.7212,25.7897,,6.99,304.0,0.568,,
2017-01-0048.ctd,UTC,12-02-17, 10:05,48,50.00134,-144.99899,P26,Mid-ship,31.0,5.9804,32.7211,25.7804,,6.99,304.3,0.602,,
2017-01-0051.ctd,UTC,12-02-17, 16:33,51,50.000170000000004,-145.00017,P26,Mid-ship,31.0,5.9016,32.7212,25.79,,6.96,303.1,0.562,,0.0
2017-01-0044.ctd,UTC,12-02-17, 06:13,44,50.00183,-144.9985,P26,Mid-ship,31.1,6.0883,32.723,25.7686,,6.96,302.8,0.635,,
2017-01-0047.ctd,UTC,12-02-17, 09:32,47,50.00183,-144.9985,P26,Mid-ship,32.0,6.034,32.7222,25.7747,,6.94,302.2,0.626,,
2017-01-0050.ctd,UTC,12-02-17, 12:05,50,50.000170000000004,-144.99983,P26,Mid-ship,32.0,5.9043,32.7214,25.7899,,6.98,304.0,0.575,,
2017-01-0051.ctd,UTC,12-02-17, 16:33,51,50.000170000000004,-145.00017,P26,Mid-ship,32.0,5.9032,32.7212,25.7899,,6.96,302.7,0.56,,0.0
