File Name,Zone,FIL:START TIME YYYY/MM/DD, HH:MM,LOC:EVENT_NUMBER,latitude,longitude,station,INS:LOCATION,sea_water_pressure,sea_water_temperature,Salinity:CTD [PSS-78],Sigma-t:CTD [kg/m^3],Transmissivity:CTD [%/m],Oxygen:Dissolved:CTD:Volume [ml/l],moles_of_oxygen_per_unit_mass_in_sea_water,mass_concentration_of_chlorophyll,PAR:CTD [µE/m^2/sec]
2013-17-0099.ctd,UTC,19-06-13, 16:02,99,50.00067,-144.99916000000002,P26,Mid-ship,9,9.3104,32.5265,25.159000000000002,51.6,6.81,296.5,2.5810000000000004,7.7
2013-17-0080.ctd,UTC,16-06-13, 13:51,80,49.9985,-145.0025,P26,Mid-ship,10,8.8078,32.5293,25.2395,53.2,6.81,296.7,2.032,0.9
2013-17-0081.ctd,UTC,16-06-13, 14:33,81,49.99933,-145.00267,P26,Mid-ship,10,8.8062,32.5301,25.2404,53.2,6.82,297.1,2.022,
2013-17-0082.ctd,UTC,16-06-13, 15:49,82,49.99917,-145.0025,P26,Mid-ship,10,8.8069,32.5294,25.2397,53.2,6.82,296.8,2.019,
2013-17-0084.ctd,UTC,16-06-13, 20:47,84,50.001999999999995,-145.00034,P26,Mid-ship,10,8.8466,32.5296,25.2338,52.3,6.83,297.4,1.829,
2013-17-0085.ctd,UTC,16-06-13, 22:45,85,50.0005,-144.99867,P26,Mid-ship,10,8.8799,32.5298,25.2288,52.1,6.82,297.1,1.931,
2013-17-0086.ctd,UTC,17-06-13, 01:41,86,50.00067,-144.99983,P26,Mid-ship,10,8.9498,32.529,25.2174,52.0,6.84,297.7,1.935,
2013-17-0087.ctd,UTC,17-06-13, 14:34,87,49.9995,-144.9975,P26,Mid-ship,10,8.9563,32.528,25.2156,53.9,6.8,296.2,2.151,
2013-17-0091.ctd,UTC,18-06-13, 03:03,91,50.000170000000004,-144.99867,P26,Mid-ship,10,9.1206,32.5262,25.1886,51.0,6.82,296.9,2.406,42.8
2013-17-0092.ctd,UTC,18-06-13, 06:57,92,50.0005,-144.99983,P26,Mid-ship,10,9.1206,32.5274,25.1896,51.6,6.83,297.4,2.6710000000000003,
2013-17-0098.ctd,UTC,19-06-13, 14:38,98,50.0,-144.99899,P26,Mid-ship,10,9.2057,32.525,25.1743,51.7,6.83,297.6,2.571,4.9
2013-17-0099.ctd,UTC,19-06-13, 16:02,99,50.00067,-144.99916000000002,P26,Mid-ship,10,9.2791,32.5256,25.1632,51.4,6.82,297.1,2.537,7.1
2013-17-0080.ctd,UTC,16-06-13, 13:51,80,49.9985,-145.0025,P26,Mid-ship,11,8.8082,32.5293,25.2395,53.3,6.81,296.7,2.037,0.8
2013-17-0081.ctd,UTC,16-06-13, 14:33,81,49.99933,-145.00267,P26,Mid-ship,11,8.8067,32.53,25.2402,53.2,6.82,297.2,2.021,
2013-17-0082.ctd,UTC,16-06-13, 15:49,82,49.99917,-145.0025,P26,Mid-ship,11,8.8069,32.5295,25.2398,53.4,6.82,297.0,2.023,
2013-17-0084.ctd,UTC,16-06-13, 20:47,84,50.001999999999995,-145.00034,P26,Mid-ship,11,8.8459,32.5298,25.2341,52.2,6.82,296.8,1.871,
2013-17-0085.ctd,UTC,16-06-13, 22:45,85,50.0005,-144.99867,P26,Mid-ship,11,8.8698,32.5298,25.2304,52.0,6.83,297.3,1.979,
2013-17-0086.ctd,UTC,17-06-13, 01:41,86,50.00067,-144.99983,P26,Mid-ship,11,8.9277,32.5291,25.2209,52.0,6.85,298.1,1.965,
2013-17-0087.ctd,UTC,17-06-13, 14:34,87,49.9995,-144.9975,P26,Mid-ship,11,8.9567,32.5279,25.2155,54.0,6.81,296.4,2.151,
2013-17-0091.ctd,UTC,18-06-13, 03:03,91,50.000170000000004,-144.99867,P26,Mid-ship,11,9.0967,32.5255,25.1918,51.0,6.82,297.0,2.436,40.0
2013-17-0092.ctd,UTC,18-06-13, 06:57,92,50.0005,-144.99983,P26,Mid-ship,11,9.1216,32.5274,25.1894,51.4,6.83,297.5,2.677,
2013-17-0098.ctd,UTC,19-06-13, 14:38,98,50.0,-144.99899,P26,Mid-ship,11,9.1789,32.5245,25.1782,51.6,6.84,297.8,2.552,4.4
2013-17-0099.ctd,UTC,19-06-13, 16:02,99,50.00067,-144.99916000000002,P26,Mid-ship,11,9.236,32.5258,25.1702,51.6,6.83,297.6,2.523,6.5
2013-17-0080.ctd,UTC,16-06-13, 13:51,80,49.9985,-145.0025,P26,Mid-ship,12,8.8081,32.5294,25.2396,53.2,6.81,296.7,2.0380000000000003,0.7
2013-17-0081.ctd,UTC,16-06-13, 14:33,81,49.99933,-145.00267,P26,Mid-ship,12,8.8072,32.53,25.2402,53.2,6.83,297.5,2.03,
2013-17-0082.ctd,UTC,16-06-13, 15:49,82,49.99917,-145.0025,P26,Mid-ship,12,8.807,32.5296,25.2399,53.4,6.82,296.9,2.0269999999999997,
2013-17-0084.ctd,UTC,16-06-13, 20:47,84,50.001999999999995,-145.00034,P26,Mid-ship,12,8.8454,32.5297,25.2341,52.3,6.81,296.5,1.8969999999999998,
2013-17-0085.ctd,UTC,16-06-13, 22:45,85,50.0005,-144.99867,P26,Mid-ship,12,8.8679,32.5298,25.2307,52.0,6.82,297.1,2.005,
2013-17-0086.ctd,UTC,17-06-13, 01:41,86,50.00067,-144.99983,P26,Mid-ship,12,8.9187,32.5292,25.2224,51.9,6.84,297.8,2.0069999999999997,
2013-17-0087.ctd,UTC,17-06-13, 14:34,87,49.9995,-144.9975,P26,Mid-ship,12,8.9574,32.5279,25.2154,53.9,6.81,296.4,2.157,
2013-17-0091.ctd,UTC,18-06-13, 03:03,91,50.000170000000004,-144.99867,P26,Mid-ship,12,9.0369,32.5267,25.2021,50.7,6.83,297.3,2.509,32.6
2013-17-0092.ctd,UTC,18-06-13, 06:57,92,50.0005,-144.99983,P26,Mid-ship,12,9.1212,32.5274,25.1895,51.4,6.84,297.8,2.676,
2013-17-0098.ctd,UTC,19-06-13, 14:38,98,50.0,-144.99899,P26,Mid-ship,12,9.17,32.5246,25.1796,51.5,6.84,297.8,2.544,4.1
2013-17-0099.ctd,UTC,19-06-13, 16:02,99,50.00067,-144.99916000000002,P26,Mid-ship,12,9.1752,32.5243,25.1786,51.2,6.85,298.4,2.5980000000000003,5.9
2013-17-0080.ctd,UTC,16-06-13, 13:51,80,49.9985,-145.0025,P26,Mid-ship,13,8.8082,32.5295,25.2396,53.2,6.82,296.8,2.0180000000000002,0.7
2013-17-0081.ctd,UTC,16-06-13, 14:33,81,49.99933,-145.00267,P26,Mid-ship,13,8.8072,32.5302,25.2403,53.2,6.83,297.2,2.021,
2013-17-0082.ctd,UTC,16-06-13, 15:49,82,49.99917,-145.0025,P26,Mid-ship,13,8.8068,32.5295,25.2398,53.4,6.82,296.8,2.02,
2013-17-0084.ctd,UTC,16-06-13, 20:47,84,50.001999999999995,-145.00034,P26,Mid-ship,13,8.8447,32.5296,25.2341,52.4,6.81,296.7,1.9140000000000001,
2013-17-0085.ctd,UTC,16-06-13, 22:45,85,50.0005,-144.99867,P26,Mid-ship,13,8.8607,32.5296,25.2316,52.0,6.83,297.4,2.026,
2013-17-0086.ctd,UTC,17-06-13, 01:41,86,50.00067,-144.99983,P26,Mid-ship,13,8.9094,32.5289,25.2236,52.2,6.83,297.5,2.01,
2013-17-0087.ctd,UTC,17-06-13, 14:34,87,49.9995,-144.9975,P26,Mid-ship,13,8.9572,32.528,25.2155,54.0,6.8,296.0,2.148,
2013-17-0091.ctd,UTC,18-06-13, 03:03,91,50.000170000000004,-144.99867,P26,Mid-ship,13,8.9972,32.5265,25.2081,50.8,6.83,297.6,2.575,31.1
2013-17-0092.ctd,UTC,18-06-13, 06:57,92,50.0005,-144.99983,P26,Mid-ship,13,9.1215,32.5274,25.1894,51.6,6.84,298.0,2.64,
2013-17-0098.ctd,UTC,19-06-13, 14:38,98,50.0,-144.99899,P26,Mid-ship,13,9.1564,32.5249,25.182,51.7,6.84,297.8,2.573,3.7
2013-17-0099.ctd,UTC,19-06-13, 16:02,99,50.00067,-144.99916000000002,P26,Mid-ship,13,9.1653,32.5245,25.1803,51.1,6.86,298.9,2.614,5.4
2013-17-0080.ctd,UTC,16-06-13, 13:51,80,49.9985,-145.0025,P26,Mid-ship,14,8.8082,32.5295,25.2396,53.2,6.82,296.8,2.035,0.6
2013-17-0081.ctd,UTC,16-06-13, 14:33,81,49.99933,-145.00267,P26,Mid-ship,14,8.8074,32.5299,25.2401,53.1,6.83,297.2,2.024,
2013-17-0082.ctd,UTC,16-06-13, 15:49,82,49.99917,-145.0025,P26,Mid-ship,14,8.8067,32.5296,25.2399,53.3,6.82,296.8,2.02,
2013-17-0084.ctd,UTC,16-06-13, 20:47,84,50.001999999999995,-145.00034,P26,Mid-ship,14,8.8444,32.5298,25.2343,52.3,6.82,296.8,1.9480000000000002,
2013-17-0085.ctd,UTC,16-06-13, 22:45,85,50.0005,-144.99867,P26,Mid-ship,14,8.8563,32.5296,25.2323,52.1,6.82,296.8,2.031,
2013-17-0086.ctd,UTC,17-06-13, 01:41,86,50.00067,-144.99983,P26,Mid-ship,14,8.8999,32.5288,25.225,52.1,6.84,298.1,2.029,
2013-17-0087.ctd,UTC,17-06-13, 14:34,87,49.9995,-144.9975,P26,Mid-ship,14,8.9573,32.528,25.2155,53.9,6.81,296.5,2.142,
2013-17-0091.ctd,UTC,18-06-13, 03:03,91,50.000170000000004,-144.99867,P26,Mid-ship,14,8.9862,32.5264,25.2097,50.8,6.84,297.7,2.5989999999999998,28.6
2013-17-0092.ctd,UTC,18-06-13, 06:57,92,50.0005,-144.99983,P26,Mid-ship,14,9.1195,32.5274,25.1897,51.7,6.84,298.0,2.635,
2013-17-0098.ctd,UTC,19-06-13, 14:38,98,50.0,-144.99899,P26,Mid-ship,14,9.1483,32.525,25.1834,51.8,6.83,297.6,2.583,3.3
2013-17-0099.ctd,UTC,19-06-13, 16:02,99,50.00067,-144.99916000000002,P26,Mid-ship,14,9.1593,32.5242,25.180999999999997,51.2,6.87,299.1,2.6289999999999996,4.8
2013-17-0080.ctd,UTC,16-06-13, 13:51,80,49.9985,-145.0025,P26,Mid-ship,15,8.8086,32.5295,25.2396,53.1,6.82,296.8,2.05,0.6
2013-17-0081.ctd,UTC,16-06-13, 14:33,81,49.99933,-145.00267,P26,Mid-ship,15,8.8071,32.5301,25.2403,53.2,6.82,296.8,2.016,
2013-17-0082.ctd,UTC,16-06-13, 15:49,82,49.99917,-145.0025,P26,Mid-ship,15,8.8075,32.5296,25.2398,53.2,6.82,296.8,2.001,
2013-17-0084.ctd,UTC,16-06-13, 20:47,84,50.001999999999995,-145.00034,P26,Mid-ship,15,8.8441,32.5298,25.2344,52.3,6.82,296.9,1.966,
2013-17-0085.ctd,UTC,16-06-13, 22:45,85,50.0005,-144.99867,P26,Mid-ship,15,8.8554,32.5298,25.2326,52.0,6.82,296.9,2.052,
2013-17-0086.ctd,UTC,17-06-13, 01:41,86,50.00067,-144.99983,P26,Mid-ship,15,8.888,32.5288,25.2268,52.1,6.84,297.8,2.052,
2013-17-0087.ctd,UTC,17-06-13, 14:34,87,49.9995,-144.9975,P26,Mid-ship,15,8.9575,32.528,25.2154,53.9,6.82,297.0,2.167,
2013-17-0091.ctd,UTC,18-06-13, 03:03,91,50.000170000000004,-144.99867,P26,Mid-ship,15,8.9834,32.5262,25.21,50.9,6.84,297.9,2.559,25.9
2013-17-0092.ctd,UTC,18-06-13, 06:57,92,50.0005,-144.99983,P26,Mid-ship,15,9.1204,32.5275,25.1897,51.6,6.84,298.1,2.6639999999999997,
2013-17-0098.ctd,UTC,19-06-13, 14:38,98,50.0,-144.99899,P26,Mid-ship,15,9.1424,32.5251,25.1844,51.6,6.83,297.6,2.612,3.0
2013-17-0099.ctd,UTC,19-06-13, 16:02,99,50.00067,-144.99916000000002,P26,Mid-ship,15,9.1487,32.525,25.1833,51.1,6.87,299.0,2.678,4.3
2013-17-0080.ctd,UTC,16-06-13, 13:51,80,49.9985,-145.0025,P26,Mid-ship,16,8.809,32.5296,25.2396,53.1,6.8,296.2,2.032,0.5
2013-17-0081.ctd,UTC,16-06-13, 14:33,81,49.99933,-145.00267,P26,Mid-ship,16,8.8075,32.5301,25.2402,53.4,6.83,297.3,2.012,
2013-17-0082.ctd,UTC,16-06-13, 15:49,82,49.99917,-145.0025,P26,Mid-ship,16,8.8079,32.5296,25.2397,53.3,6.82,296.8,2.036,
2013-17-0084.ctd,UTC,16-06-13, 20:47,84,50.001999999999995,-145.00034,P26,Mid-ship,16,8.8437,32.5298,25.2344,52.4,6.82,297.0,1.983,
2013-17-0085.ctd,UTC,16-06-13, 22:45,85,50.0005,-144.99867,P26,Mid-ship,16,8.8543,32.5297,25.2327,52.0,6.81,296.7,2.088,
2013-17-0086.ctd,UTC,17-06-13, 01:41,86,50.00067,-144.99983,P26,Mid-ship,16,8.8787,32.5285,25.228,52.1,6.84,298.0,2.06,
2013-17-0087.ctd,UTC,17-06-13, 14:34,87,49.9995,-144.9975,P26,Mid-ship,16,8.9568,32.528,25.2156,53.9,6.82,296.8,2.1719999999999997,
